GEOID,NAME,sports_name,sports_team_count,has_NFL,has_NBA,has_MLB,has_NHL,has_pro_team,power4_school_count,has_power4_school,power4_school_list
41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area","San Diego-Chula Vista-Carlsbad, CA Metro Area",1,0,0,1,0,1,0,0,NA
41860,"San Francisco-Oakland-Fremont, CA Metro Area","San Francisco-Oakland-Fremont, CA Metro Area",4,1,1,1,1,1,0,0,NA
41860,"San Francisco-Oakland-Hayward, CA Metro Area","San Francisco-Oakland-Fremont, CA Metro Area",4,1,1,1,1,1,0,0,NA
41860,"San Francisco-Oakland-Berkeley, CA Metro Area","San Francisco-Oakland-Fremont, CA Metro Area",4,1,1,1,1,1,1,1,California
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area","San Jose-Sunnyvale-Santa Clara, CA Metro Area",2,0,0,0,1,1,1,1,Stanford
42660,"Seattle-Tacoma-Bellevue, WA Metro Area","Seattle-Tacoma-Bellevue, WA Metro Area",3,1,0,1,1,1,1,1,Washington
45060,"Syracuse, NY Metro Area",NA,0,0,0,0,0,0,1,1,Syracuse
45220,"Tallahassee, FL Metro Area",NA,0,0,0,0,0,0,1,1,Florida State
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area","Tampa-St. Petersburg-Clearwater, FL Metro Area",3,1,0,1,1,1,0,0,NA
46060,"Tucson, AZ Metro Area",NA,0,0,0,0,0,0,1,1,Arizona
46220,"Tuscaloosa, AL Metro Area",NA,0,0,0,0,0,0,1,1,Alabama
47380,"Waco, TX Metro Area",NA,0,0,0,0,0,0,1,1,Baylor
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",4,1,1,1,1,1,1,1,Maryland
49180,"Winston-Salem, NC Metro Area",NA,0,0,0,0,0,0,1,1,Wake Forest
